timestamp, x, y, z 
1.72883e+09, -20.6177, 104.83, 0.204389
1.72883e+09, -20.5599, 105.213, 0.20807
1.72883e+09, -20.4969, 105.556, 0.214104
1.72883e+09, -20.4216, 105.891, 0.216131
1.72883e+09, -20.3182, 106.253, 0.218019
1.72883e+09, -20.2052, 106.573, 0.217585
1.72883e+09, -20.064, 106.912, 0.217354
1.72883e+09, -19.9218, 107.211, 0.217469
1.72883e+09, -19.7518, 107.531, 0.217283
1.72883e+09, -19.5857, 107.817, 0.215476
1.72883e+09, -19.3862, 108.127, 0.208599
1.72883e+09, -19.1877, 108.402, 0.20204
1.72883e+09, -18.9699, 108.664, 0.200594
1.72883e+09, -18.7047, 108.939, 0.199555
1.72883e+09, -18.4486, 109.182, 0.196001
1.72883e+09, -18.149, 109.436, 0.192253
1.72883e+09, -17.8603, 109.652, 0.19147
1.72883e+09, -17.5231, 109.874, 0.190987
1.72883e+09, -17.2071, 110.066, 0.191642
1.72883e+09, -16.8804, 110.245, 0.19004
1.72883e+09, -16.5053, 110.425, 0.182517
1.72883e+09, -16.1448, 110.577, 0.179476
1.72883e+09, -15.7258, 110.726, 0.179018
1.72883e+09, -15.3267, 110.848, 0.177889
1.72883e+09, -14.873, 110.981, 0.175597
1.72883e+09, -14.4424, 111.106, 0.17982
1.72883e+09, -13.9923, 111.233, 0.182454
1.72883e+09, -13.4767, 111.364, 0.185178
1.72883e+09, -12.9858, 111.464, 0.188708
1.72883e+09, -12.4776, 111.549, 0.190669
1.72883e+09, -11.897, 111.637, 0.189809
1.72883e+09, -11.3529, 111.725, 0.179685
1.72883e+09, -10.7309, 111.828, 0.170294
1.72883e+09, -10.1408, 111.912, 0.165899
1.72883e+09, -9.52521, 111.99, 0.165337
1.72883e+09, -8.83387, 112.086, 0.163741
1.72883e+09, -8.18864, 112.183, 0.161362
1.72883e+09, -7.4633, 112.3, 0.159951
1.72883e+09, -6.78917, 112.402, 0.153609
1.72883e+09, -6.09986, 112.506, 0.149317
1.72883e+09, -5.32526, 112.622, 0.148495
1.72883e+09, -4.60668, 112.737, 0.151924
1.72883e+09, -3.80383, 112.863, 0.156418
1.72883e+09, -3.06448, 112.976, 0.16096
1.72883e+09, -2.32148, 113.091, 0.165291
1.72883e+09, -1.4966, 113.214, 0.16623
1.72883e+09, -0.735427, 113.322, 0.163908
1.72883e+09, 0.109771, 113.44, 0.162283
1.72883e+09, 0.885992, 113.557, 0.163619
1.72883e+09, 1.66324, 113.674, 0.160506
1.72883e+09, 2.52506, 113.801, 0.157388
1.72883e+09, 3.31534, 113.919, 0.158857
1.72883e+09, 4.19214, 114.058, 0.164539
1.72883e+09, 4.99186, 114.188, 0.173022
1.72883e+09, 5.87485, 114.322, 0.178598
1.72883e+09, 6.67861, 114.45, 0.179683
1.72883e+09, 7.47684, 114.576, 0.181489
1.72883e+09, 8.34518, 114.704, 0.185068
1.72883e+09, 9.1267, 114.814, 0.183452
1.72883e+09, 9.98835, 114.937, 0.186924
1.72883e+09, 10.7813, 115.052, 0.198532
1.72883e+09, 11.5743, 115.166, 0.211017
1.72883e+09, 12.4339, 115.289, 0.21833
1.72883e+09, 13.2086, 115.405, 0.221961
1.72883e+09, 14.0558, 115.535, 0.225462
1.72883e+09, 14.8238, 115.649, 0.22782
1.72883e+09, 15.6655, 115.772, 0.232855
1.72883e+09, 16.4265, 115.883, 0.238706
1.72883e+09, 17.1841, 115.995, 0.242634
1.72883e+09, 18.0159, 116.118, 0.244839
1.72883e+09, 18.7695, 116.226, 0.252269
1.72883e+09, 19.5889, 116.339, 0.258976
1.72883e+09, 20.33, 116.439, 0.264369
1.72883e+09, 21.142, 116.544, 0.268608
1.72883e+09, 21.879, 116.636, 0.274251
1.72883e+09, 22.6112, 116.728, 0.281848
1.72883e+09, 23.4118, 116.833, 0.289515
1.72883e+09, 24.1274, 116.928, 0.295044
1.72883e+09, 24.8967, 117.028, 0.297085
1.72883e+09, 25.5789, 117.117, 0.299958
1.72883e+09, 26.3192, 117.212, 0.303928
1.72883e+09, 26.9866, 117.297, 0.308277
1.72883e+09, 27.6519, 117.384, 0.312453
1.72883e+09, 28.3818, 117.478, 0.318652
1.72883e+09, 29.0436, 117.559, 0.323339
1.72883e+09, 29.77, 117.65, 0.326987
1.72883e+09, 30.4216, 117.737, 0.329511
1.72883e+09, 31.1357, 117.833, 0.334021
1.72883e+09, 31.7829, 117.911, 0.336051
1.72883e+09, 32.4259, 117.989, 0.337263
1.72883e+09, 33.1281, 118.079, 0.340997
1.72883e+09, 33.7637, 118.16, 0.345522
1.72883e+09, 34.4585, 118.231, 0.346166
1.72883e+09, 35.0935, 118.288, 0.346663
1.72883e+09, 35.7975, 118.356, 0.349845
1.72883e+09, 36.4446, 118.418, 0.354642
1.72883e+09, 37.0956, 118.471, 0.36301
1.72883e+09, 37.8152, 118.525, 0.370473
1.72883e+09, 38.4771, 118.576, 0.374013
1.72883e+09, 39.2188, 118.627, 0.378167
1.72883e+09, 39.9023, 118.671, 0.382058
1.72883e+09, 40.6702, 118.726, 0.384167
1.72883e+09, 41.3696, 118.776, 0.382039
1.72883e+09, 42.0728, 118.821, 0.378786
1.72883e+09, 42.8538, 118.863, 0.377898
1.72883e+09, 43.568, 118.898, 0.378824
1.72883e+09, 44.3588, 118.946, 0.380639
1.72883e+09, 45.0814, 118.995, 0.385214
1.72883e+09, 45.8077, 119.044, 0.39051
1.72883e+09, 46.6002, 119.1, 0.459243
1.72883e+09, 47.3185, 119.163, 0.568438
1.72883e+09, 48.1039, 119.225, 0.63658
1.72883e+09, 48.8178, 119.282, 0.712257
1.72883e+09, 49.6036, 119.333, 0.761281
1.72883e+09, 50.3246, 119.377, 0.816228
1.72883e+09, 51.0486, 119.422, 0.851334
1.72883e+09, 51.8486, 119.474, 0.889944
1.72883e+09, 52.578, 119.516, 0.916122
1.72883e+09, 53.387, 119.566, 0.946433
1.72883e+09, 54.1246, 119.609, 0.964933
1.72883e+09, 54.9442, 119.655, 0.987855
1.72883e+09, 55.6948, 119.696, 1.0047
1.72883e+09, 56.4506, 119.739, 1.01831
1.72883e+09, 57.287, 119.779, 1.03367
1.72883e+09, 58.0504, 119.812, 1.04087
1.72883e+09, 58.8963, 119.853, 1.04371
1.72883e+09, 59.6685, 119.884, 1.0474
1.72883e+09, 60.5238, 119.915, 1.05454
1.72883e+09, 61.3073, 119.944, 1.05955
1.72883e+09, 62.0988, 119.974, 1.0677
1.72883e+09, 62.9781, 120.002, 1.07895
1.72883e+09, 63.7833, 120.034, 1.08961
1.72883e+09, 64.6731, 120.073, 1.09527
1.72883e+09, 65.4872, 120.109, 1.10169
1.72883e+09, 66.3888, 120.146, 1.10623
1.72883e+09, 67.2119, 120.182, 1.10948
1.72883e+09, 68.034, 120.222, 1.11598
1.72883e+09, 68.9354, 120.264, 1.12533
